Date,Team 1,FT,Team 2
2015-12-05,Southampton,1-1,Aston Villa
2015-12-05,Stoke,2-0,Man City
2015-12-05,Swansea,0-3,Leicester
2015-12-05,Watford,2-0,Norwich
2015-12-05,West Brom,1-1,Tottenham
2015-12-12,Bournemouth,2-1,Man United
2015-12-12,Aston Villa,0-2,Arsenal
2015-12-12,Crystal Palace,1-0,Southampton
2015-12-12,Leicester,2-1,Chelsea
2015-12-12,Liverpool,2-2,West Brom
2015-12-12,Man City,2-1,Swansea
2015-12-12,Norwich,1-1,Everton
2015-12-12,Sunderland,0-1,Watford
2015-12-12,Tottenham,1-2,Newcastle
2015-12-12,West Ham,0-0,Stoke
2015-12-19,Arsenal,2-1,Man City
2015-12-19,Chelsea,3-1,Sunderland
2015-12-19,Everton,2-3,Leicester
2015-12-19,Man United,1-2,Norwich
2015-12-19,Newcastle,1-1,Aston Villa
2015-12-19,Southampton,0-2,Tottenham
2015-12-19,Stoke,1-2,Crystal Palace
2015-12-19,Swansea,0-0,West Ham
2015-12-19,Watford,3-0,Liverpool
2015-12-19,West Brom,1-2,Bournemouth
2015-12-26,Bournemouth,0-0,Crystal Palace
2015-12-26,Aston Villa,1-1,West Ham
2015-12-26,Chelsea,2-2,Watford
2015-12-26,Liverpool,1-0,Leicester
2015-12-26,Man City,4-1,Sunderland
2015-12-26,Newcastle,0-1,Everton
2015-12-26,Southampton,4-0,Arsenal
2015-12-26,Stoke,2-0,Man United
2015-12-26,Swansea,1-0,West Brom
2015-12-26,Tottenham,3-0,Norwich
2015-12-28,Arsenal,2-0,Bournemouth
2015-12-28,Crystal Palace,0-0,Swansea
2015-12-28,Everton,3-4,Stoke
2015-12-28,Leicester,0-0,Man City
2015-12-28,Man United,0-0,Chelsea
2015-12-28,Norwich,2-0,Aston Villa
2015-12-28,Sunderland,0-1,Liverpool
2015-12-28,Watford,1-2,Tottenham
2015-12-28,West Brom,1-0,Newcastle
2015-12-28,West Ham,2-1,Southampton
2016-01-02,Arsenal,1-0,Newcastle
2016-01-02,Leicester,0-0,Bournemouth
2016-01-02,Man United,2-1,Swansea
2016-01-02,Norwich,1-0,Southampton
2016-01-02,Sunderland,3-1,Aston Villa
2016-01-02,Watford,1-2,Man City
2016-01-02,West Brom,2-1,Stoke
2016-01-02,West Ham,2-0,Liverpool
2016-01-03,Crystal Palace,0-3,Chelsea
2016-01-03,Everton,1-1,Tottenham
2016-01-12,Bournemouth,1-3,West Ham
2016-01-12,Aston Villa,1-0,Crystal Palace
2016-01-12,Liverpool,3-3,Arsenal
2016-01-12,Swansea,2-4,Sunderland
2016-01-13,Chelsea,2-2,West Brom
2016-01-13,Man City,0-0,Everton
2016-01-13,Newcastle,3-3,Man United
2016-01-13,Southampton,2-0,Watford
2016-01-13,Stoke,3-1,Norwich
2016-01-13,Tottenham,0-1,Leicester
2016-01-16,Bournemouth,3-0,Norwich
2016-01-16,Aston Villa,1-1,Leicester
2016-01-16,Chelsea,3-3,Everton
2016-01-16,Man City,4-0,Crystal Palace
2016-01-16,Newcastle,2-1,West Ham
2016-01-16,Southampton,3-0,West Brom
2016-01-16,Tottenham,4-1,Sunderland
2016-01-17,Liverpool,0-1,Man United
2016-01-17,Stoke,0-0,Arsenal
2016-01-18,Swansea,1-0,Watford
2016-01-23,Crystal Palace,1-3,Tottenham
2016-01-23,Leicester,3-0,Stoke
2016-01-23,Man United,0-1,Southampton
2016-01-23,Norwich,4-5,Liverpool
2016-01-23,Sunderland,1-1,Bournemouth
2016-01-23,Watford,2-1,Newcastle
2016-01-23,West Brom,0-0,Aston Villa
2016-01-23,West Ham,2-2,Man City
2016-01-24,Arsenal,0-1,Chelsea
2016-01-24,Everton,1-2,Swansea
2016-02-02,Arsenal,0-0,Southampton
2016-02-02,Crystal Palace,1-2,Bournemouth
2016-02-02,Leicester,2-0,Liverpool
2016-02-02,Man United,3-0,Stoke
2016-02-02,Norwich,0-3,Tottenham
2016-02-02,Sunderland,0-1,Man City
2016-02-02,Watford,0-0,Chelsea
