Date,Team 1,FT,Team 2
2015-05-12,Southampton,1-1,Aston Villa
2015-05-12,Stoke,2-0,Man City
2015-05-12,Swansea,0-3,Leicester
2015-05-12,Watford,2-0,Norwich
2015-05-12,West Brom,1-1,Tottenham
2015-12-12,Bournemouth,2-1,Man United
2015-12-12,Aston Villa,0-2,Arsenal
2015-12-12,Crystal Palace,1-0,Southampton
2015-12-12,Leicester,2-1,Chelsea
2015-12-12,Liverpool,2-2,West Brom
2015-12-12,Man City,2-1,Swansea
2015-12-12,Norwich,1-1,Everton
2015-12-12,Sunderland,0-1,Watford
2015-12-12,Tottenham,1-2,Newcastle
2015-12-12,West Ham,0-0,Stoke
2015-19-12,Arsenal,2-1,Man City
2015-19-12,Chelsea,3-1,Sunderland
2015-19-12,Everton,2-3,Leicester
2015-19-12,Man United,1-2,Norwich
2015-19-12,Newcastle,1-1,Aston Villa
2015-19-12,Southampton,0-2,Tottenham
2015-19-12,Stoke,1-2,Crystal Palace
2015-19-12,Swansea,0-0,West Ham
2015-19-12,Watford,3-0,Liverpool
2015-19-12,West Brom,1-2,Bournemouth
2015-26-12,Bournemouth,0-0,Crystal Palace
2015-26-12,Aston Villa,1-1,West Ham
2015-26-12,Chelsea,2-2,Watford
2015-26-12,Liverpool,1-0,Leicester
2015-26-12,Man City,4-1,Sunderland
2015-26-12,Newcastle,0-1,Everton
2015-26-12,Southampton,4-0,Arsenal
2015-26-12,Stoke,2-0,Man United
2015-26-12,Swansea,1-0,West Brom
2015-26-12,Tottenham,3-0,Norwich
2015-28-12,Arsenal,2-0,Bournemouth
2015-28-12,Crystal Palace,0-0,Swansea
2015-28-12,Everton,3-4,Stoke
2015-28-12,Leicester,0-0,Man City
2015-28-12,Man United,0-0,Chelsea
2015-28-12,Norwich,2-0,Aston Villa
2015-28-12,Sunderland,0-1,Liverpool
2015-28-12,Watford,1-2,Tottenham
2015-28-12,West Brom,1-0,Newcastle
2015-28-12,West Ham,2-1,Southampton
2016-02-01,Arsenal,1-0,Newcastle
2016-02-01,Leicester,0-0,Bournemouth
2016-02-01,Man United,2-1,Swansea
2016-02-01,Norwich,1-0,Southampton
2016-02-01,Sunderland,3-1,Aston Villa
2016-02-01,Watford,1-2,Man City
2016-02-01,West Brom,2-1,Stoke
2016-02-01,West Ham,2-0,Liverpool
2016-03-01,Crystal Palace,0-3,Chelsea
2016-03-01,Everton,1-1,Tottenham
2016-12-01,Bournemouth,1-3,West Ham
2016-12-01,Aston Villa,1-0,Crystal Palace
